name,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5
Julian Strawther,10112,P,9.4,2.3,1.8,1.1,0.1,1.1,17.36,22.0,27.9,26.4,8.7,13.8
DaRon Holmes II,10286,P,,,,,,,0.0,,,,,
PJ Hall,10329,P,,,,,,,0.0,,,,,
Trey Alexander,10385,P,1.0,0.5,0.0,0.0,0.0,0.0,1.6,,,,,
Spencer Jones,10393,P,0.0,1.0,0.0,1.0,0.0,0.0,4.2,,,,,
Jerami Grant,5350,P,18.6,4.4,2.0,0.9,1.3,1.8,31.68,24.1,34.6,36.4,25.6,11.1
Deandre Ayton,5958,P,15.1,11.3,1.1,0.9,0.6,1.2,33.61,40.0,36.6,28.6,27.0,35.9
Anfernee Simons,6035,P,19.4,2.3,5.3,0.9,0.1,2.7,30.41,29.5,32.2,43.6,23.8,35.4
Robert Williams III,6038,P,,,,,,,0.0,,,,,
Matisse Thybulle,6208,P,,,,,,,0.0,,,,,
Deni Avdija,6401,P,10.0,6.1,3.1,1.1,0.9,2.1,25.87,23.9,18.7,34.2,17.6,35.0
Dalano Banton,6588,P,7.4,1.0,1.6,0.7,0.3,0.7,13.3,15.1,27.7,24.2,16.5,1.0
Shaedon Sharpe,6697,P,13.0,2.0,1.0,0.0,1.0,1.0,18.9,,,,,
Bryce McGowens,6730,P,,,,,,,0.0,,,,,
Jabari Walker,6747,P,3.6,2.8,0.4,0.1,0.1,0.4,7.76,3.0,1.2,12.1,1.2,22.2
Scoot Henderson,10048,P,12.1,3.0,4.7,0.8,0.0,2.9,22.25,20.1,15.899999999999999,9.9,17.1,26.6
Justin Minaya,10061,P,,,,,,,0.0,,,,,
Rayan Rupert,10064,P,4.9,1.5,0.3,0.8,0.1,0.3,9.55,0.0,11.4,3.2,22.4,8.2
Toumani Camara,10065,P,9.1,5.0,2.4,1.7,0.3,1.0,23.7,17.299999999999997,34.0,26.5,23.6,25.7
Kris Murray,10119,P,4.2,2.6,0.8,0.4,0.1,0.7,9.32,0.0,2.2,12.3,14.6,25.6
Duop Reath,10164,P,1.2,0.4,0.4,0.0,0.2,0.2,2.68,0.0,3.0,5.7,0.0,4.7
Taze Moore,10234,P,,,,,,,0.0,,,,,
Donovan Clingan,10285,P,3.8,5.2,0.2,0.3,1.7,0.9,15.44,12.8,14.600000000000001,9.8,14.4,19.2
Mike Conley,4246,P,8.6,2.9,5.1,1.1,0.4,1.1,23.13,32.9,26.0,20.1,18.5,20.8
Rudy Gobert,5197,P,11.8,9.9,2.0,0.5,1.1,1.5,29.98,37.3,25.6,15.1,45.3,16.1
Julius Randle,5318,P,21.5,6.9,4.5,0.8,0.0,2.9,36.03,37.5,28.8,30.0,37.7,41.9
Joe Ingles,5393,P,0.0,0.4,1.6,0.0,0.0,0.2,2.68,1.7,1.5,7.2,1.5,1.5
PJ Dozier,5886,P,1.3,0.3,0.0,0.3,0.0,0.0,2.56,,,,,
Donte DiVincenzo,6028,P,10.8,3.4,3.5,1.4,0.4,1.9,23.63,33.8,32.5,18.4,25.6,19.4
Nickeil Alexander-Walker,6205,P,7.9,2.1,2.9,0.6,0.3,1.1,16.37,8.2,10.9,19.6,29.9,19.9
Naz Reid,6253,P,13.9,6.0,1.8,0.4,0.6,1.3,25.5,10.9,43.8,18.8,30.6,25.799999999999997
Anthony Edwards,6355,P,28.0,5.9,3.4,0.8,0.5,3.0,41.08,52.6,30.5,33.0,43.8,46.7
Jaden McDaniels,6420,P,9.9,2.4,1.5,0.5,1.1,1.1,18.73,23.4,18.6,18.1,17.5,22.8
Luka Garza,6594,P,0.7,1.7,0.0,0.0,0.0,0.7,2.04,,,,,
Daishen Nix,6626,P,,,,,,,0.0,,,,,
Josh Minott,6735,P,1.7,1.3,0.0,0.0,0.3,1.0,3.16,,,,,
Leonard Miller,10050,P,,,,,,,0.0,,,,,
Jaylen Clark,10086,P,,,,,,,0.0,,,,,
Terrence Shannon Jr.,10280,P,1.3,0.0,0.0,0.3,0.0,0.3,1.9,,,,,
Rob Dillingham,10281,P,1.3,0.0,1.7,0.0,0.0,0.3,3.55,,,,,
Jesse Edwards,10387,P,,,,,,,0.0,,,,,
Kyle Lowry,4152,P,8.4,2.3,3.4,1.4,0.3,0.9,20.46,9.4,31.9,20.1,17.6,13.2
Eric Gordon,4469,P,7.0,0.9,1.4,0.1,0.3,1.0,10.38,1.2000000000000002,18.7,12.2,4.5,19.7
Paul George,4725,P,16.5,6.0,3.0,2.0,0.5,5.0,30.7,,,,,
Reggie Jackson,4906,P,1.0,0.0,1.7,0.3,0.0,0.7,3.75,,,,,
Andre Drummond,5015,P,8.6,10.6,0.6,1.6,0.6,2.6,26.22,24.5,18.0,16.799999999999997,24.2,35.9
Joel Embiid,5294,P,,,,,,,0.0,,,,,
Kelly Oubre Jr.,5475,P,17.0,4.1,1.1,1.3,0.1,1.7,26.07,24.9,22.3,27.8,21.9,27.6
Guerschon Yabusele,5647,P,8.4,3.9,2.3,1.0,0.4,1.6,19.13,5.2,37.4,15.6,20.4,15.2
Caleb Martin,6275,P,10.7,6.6,2.7,0.6,0.4,2.3,23.37,21.4,27.5,21.1,12.5,30.9
Tyrese Maxey,6413,P,27.6,3.0,3.9,1.4,0.6,2.0,41.05,14.7,44.6,40.4,51.1,59.8
KJ Martin,6444,P,4.7,2.9,0.7,0.4,0.7,0.0,12.53,17.8,0.0,18.1,11.4,16.1
Jeff Dowtin Jr.,6636,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
Lester Quinones,6750,P,0.0,1.0,1.0,0.0,0.0,0.0,2.7,,,,,
Ricky Council IV,10125,P,3.2,0.6,0.6,0.0,0.0,0.4,4.42,7.199999999999999,4.5,3.2,0.0,7.199999999999999
Jared McCain,10276,P,6.7,2.0,1.3,0.3,0.0,0.4,11.55,12.2,5.7,27.3,19.1,6.9
Justin Edwards,10310,P,,,,,,,0.0,,,,,
Adem Bona,10335,P,0.8,0.4,0.0,0.0,0.2,0.2,1.68,0.0,2.2,3.0,0.0,3.2
LeBron James,3704,P,24.0,6.9,7.5,0.6,0.4,2.9,43.63,54.4,51.1,52.2,31.700000000000003,30.0
Anthony Davis,5007,P,32.6,11.6,3.0,1.6,1.7,2.4,58.52,50.8,66.2,42.6,60.5,57.8
D'Angelo Russell,5433,P,12.0,2.3,5.8,1.0,0.1,1.6,25.16,22.7,26.6,29.6,21.1,26.7
Christian Wood,5583,P,,,,,,,0.0,,,,,
Jarred Vanderbilt,6052,P,,,,,,,0.0,,,,,
Jaxson Hayes,6170,P,5.4,4.8,1.0,0.4,0.5,0.8,14.56,20.5,11.6,17.2,14.6,1.7999999999999998
Rui Hachimura,6171,P,13.6,6.4,1.6,0.6,0.4,0.7,25.98,17.3,15.5,18.0,39.5,32.3
Cam Reddish,6172,P,5.0,4.0,0.7,1.0,0.0,0.3,13.55,,,,,
Gabe Vincent,6353,P,3.1,1.0,0.6,0.6,0.0,0.8,6.2,6.7,2.0,8.6,4.0,3.0
Austin Reaves,6606,P,17.5,4.8,4.9,1.6,0.4,2.6,34.01,,,,,
Christian Koloko,6723,P,2.0,2.0,0.0,0.0,1.0,0.0,7.4,,,,,
Max Christie,6725,P,4.1,2.1,1.3,0.5,0.3,0.8,10.17,,,,,
Maxwell Lewis,10079,P,,,,,,,0.0,,,,,
Jalen Hood-Schifino,10109,P,,,,,,,0.0,,,,,
Dalton Knecht,10291,P,6.8,1.6,1.1,0.4,0.0,0.6,10.97,,,,,
Armel Traore,10334,P,,,,,,,0.0,,,,,
Bronny James,10339,P,1.0,0.3,0.5,0.3,0.0,0.0,3.01,,,,,
Quincy Olivari,10361,P,,,,,,,0.0,,,,,
P.J. Tucker,4163,P,,,,,,,0.0,,,,,
Nicolas Batum,4487,P,3.8,2.8,2.3,0.8,0.8,0.4,15.01,,,,,
James Harden,4563,P,20.8,8.1,9.4,1.8,1.3,5.1,48.82,37.8,42.6,54.1,62.5,44.0
Kawhi Leonard,4896,P,,,,,,,0.0,,,,,
Norman Powell,5506,P,25.0,2.4,2.4,1.1,0.3,1.9,33.78,36.2,36.7,31.4,29.4,41.0
Kris Dunn,5636,P,7.5,4.1,2.6,1.1,0.3,1.1,19.42,16.7,22.1,22.8,13.8,10.4
Ivica Zubac,5663,P,17.1,12.5,2.8,0.8,0.6,2.3,38.2,32.3,34.6,28.4,38.9,30.9
Derrick Jones Jr.,5747,P,10.6,3.6,1.3,1.1,0.4,1.3,20.07,21.8,17.4,3.5999999999999996,26.6,27.6
Mo Bamba,6017,P,,,,,,,0.0,,,,,
Kevin Porter Jr.,6218,P,6.5,3.9,2.9,0.8,0.1,2.4,15.83,6.9,27.1,15.8,24.0,19.7
Terance Mann,6236,P,5.6,3.4,1.9,0.6,0.0,0.5,13.83,,,,,
Amir Coffey,6315,P,8.9,2.4,0.6,0.6,0.0,0.5,13.98,,,,,
Kai Jones,6561,P,2.4,2.0,0.4,0.0,0.8,0.4,7.4,1.0,3.0,9.9,4.4,20.5
Bones Hyland,6568,P,2.5,0.5,0.0,0.5,0.5,0.5,5.6,,,,,
