ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.4682,Garrett,Temple,SG,TOR,MIL,TOR@MIL,8:00PM EST,10,4.0,INJ," "
nba.p.5164,Kelly,Olynyk,C,TOR,MIL,TOR@MIL,8:00PM EST,22,24.8,INJ," "
nba.p.5640,Jakob,Poltl,C,TOR,MIL,TOR@MIL,8:00PM EST,26,36.2," "," "
nba.p.5894,Chris,Boucher,PF,TOR,MIL,TOR@MIL,8:00PM EST,11,21.3," "," "
nba.p.6053,Bruce,Brown,SF,TOR,MIL,TOR@MIL,8:00PM EST,19,22.3,INJ," "
nba.p.6165,RJ,Barrett,SF,TOR,MIL,TOR@MIL,8:00PM EST,33,39.1," "," "
nba.p.6222,Bruno,Fernando,C,TOR,MIL,TOR@MIL,8:00PM EST,10,8.8," "," "
nba.p.6417,Immanuel,Quickley,PG,TOR,MIL,TOR@MIL,8:00PM EST,32,24.4,GTD," "
nba.p.6515,Scottie,Barnes,SF,TOR,MIL,TOR@MIL,8:00PM EST,43,41.0,INJ," "
nba.p.6551,Davion,Mitchell,PG,TOR,MIL,TOR@MIL,8:00PM EST,10,22.7," "," "
nba.p.6625,D.J.,Carton,PG,TOR,MIL,TOR@MIL,8:00PM EST,10,3.6," "," "
nba.p.6704,Ochai,Agbaji,SF,TOR,MIL,TOR@MIL,8:00PM EST,12,27.3," "," "
nba.p.10101,Gradey,Dick,SG,TOR,MIL,TOR@MIL,8:00PM EST,22,28.5," "," "
nba.p.10278,Ja'Kobe,Walter,SG,TOR,MIL,TOR@MIL,8:00PM EST,10,7.7,INJ," "
nba.p.10325,Ulrich,Chomche,C,TOR,MIL,TOR@MIL,8:00PM EST,10,3.2," "," "
nba.p.10330,Jonathan,Mogbo,C,TOR,MIL,TOR@MIL,8:00PM EST,14,17.2," "," "
nba.p.10333,Jamal,Shead,PG,TOR,MIL,TOR@MIL,8:00PM EST,10,12.1," "," "
nba.p.10391,Jamison,Battle,SF,TOR,MIL,TOR@MIL,8:00PM EST,10,10.3," "," "
nba.p.4472,Brook,Lopez,C,MIL,TOR,TOR@MIL,8:00PM EST,25,24.7," "," "
nba.p.5012,Damian,Lillard,PG,MIL,TOR,TOR@MIL,8:00PM EST,42,42.3,O," "
nba.p.5073,Khris,Middleton,SF,MIL,TOR,TOR@MIL,8:00PM EST,31,31.2,INJ," "
nba.p.5185,Giannis,Antetokounmpo,PF,MIL,TOR,TOR@MIL,8:00PM EST,56,56.1,GTD," "
nba.p.5480,Delon,Wright,PG,MIL,TOR,TOR@MIL,8:00PM EST,10,5.4," "," "
nba.p.5482,Bobby,Portis,C,MIL,TOR,TOR@MIL,8:00PM EST,23,25.4," "," "
nba.p.5501,Pat,Connaughton,SF,MIL,TOR,TOR@MIL,8:00PM EST,10,10.0," "," "
nba.p.5643,Taurean,Prince,SF,MIL,TOR,TOR@MIL,8:00PM EST,13,18.8," "," "
nba.p.6048,Gary,Trent Jr.,SG,MIL,TOR,TOR@MIL,8:00PM EST,21,11.6,GTD," "
nba.p.6714,MarJon,Beauchamp,SG,MIL,TOR,TOR@MIL,8:00PM EST,10,3.1," "," "
nba.p.6734,Ryan,Rollins,PG,MIL,TOR,TOR@MIL,8:00PM EST,10,5.8," "," "
nba.p.6755,AJ,Green,PG,MIL,TOR,TOR@MIL,8:00PM EST,10,11.7," "," "
nba.p.6782,Stanley,Umude,SG,MIL,TOR,TOR@MIL,8:00PM EST,10,3.4," "," "
nba.p.10082,Andre,Jackson Jr.,SF,MIL,TOR,TOR@MIL,8:00PM EST,10,10.6,GTD," "
nba.p.10088,Chris,Livingston,PF,MIL,TOR,TOR@MIL,8:00PM EST,10,2.7," "," "
nba.p.10227,Liam,Robbins,C,MIL,TOR,TOR@MIL,8:00PM EST,10,2.9," "," "
nba.p.10262,Tyler,Smith,PF,MIL,TOR,TOR@MIL,8:00PM EST,10,3.9," "," "
nba.p.10300,AJ,Johnson,SG,MIL,TOR,TOR@MIL,8:00PM EST,10,1.1," "," "
nba.p.4244,Kevin,Durant,PF,PHO,UTA,PHO@UTA,9:00PM EST,49,43.9,INJ," "
nba.p.5009,Bradley,Beal,SG,PHO,UTA,PHO@UTA,9:00PM EST,29,32.9," "," "
nba.p.5192,Mason,Plumlee,C,PHO,UTA,PHO@UTA,9:00PM EST,13,15.0," "," "
nba.p.5327,Jusuf,Nurkic,C,PHO,UTA,PHO@UTA,9:00PM EST,27,25.4,GTD," "
nba.p.5473,Devin,Booker,SG,PHO,UTA,PHO@UTA,9:00PM EST,46,40.7," "," "
nba.p.5484,Tyus,Jones,PG,PHO,UTA,PHO@UTA,9:00PM EST,24,26.8," "," "
nba.p.5733,Damion,Lee,SG,PHO,UTA,PHO@UTA,9:00PM EST,10,7.6," "," "
nba.p.5864,Monte,Morris,PG,PHO,UTA,PHO@UTA,9:00PM EST,14,9.0," "," "
nba.p.5905,Royce,O'Neale,SF,PHO,UTA,PHO@UTA,9:00PM EST,18,25.6," "," "
nba.p.6031,Josh,Okogie,SF,PHO,UTA,PHO@UTA,9:00PM EST,10,12.0," "," "
nba.p.6032,Grayson,Allen,SG,PHO,UTA,PHO@UTA,9:00PM EST,19,15.9," "," "
