ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting
nba.p.6406,Aaron,Nesmith,PF,IND,ORL,ORL@IND,7:00PM EST,18,17.6,INJ," "
nba.p.6564,Isaiah,Jackson,C,IND,ORL,ORL@IND,7:00PM EST,11,20.8,INJ," "
nba.p.6696,Bennedict,Mathurin,SF,IND,ORL,ORL@IND,7:00PM EST,21,24.7," "," "
nba.p.6721,Andrew,Nembhard,SG,IND,ORL,ORL@IND,7:00PM EST,10,18.1,GTD," "
nba.p.6776,Quenton,Jackson,PG,IND,ORL,ORL@IND,7:00PM EST,10,9.2," "," "
nba.p.10103,Jarace,Walker,PF,IND,ORL,ORL@IND,7:00PM EST,10,9.2," "," "
nba.p.10113,Ben,Sheppard,SG,IND,ORL,ORL@IND,7:00PM EST,12,11.8," "," "
nba.p.10305,Johnny,Furphy,SG,IND,ORL,ORL@IND,7:00PM EST,10,0.0," "," "
nba.p.10318,Tristen,Newton,PG,IND,ORL,ORL@IND,7:00PM EST,10,0.0," "," "
nba.p.10324,Enrique,Freeman,C,IND,ORL,ORL@IND,7:00PM EST,10,3.6," "," "
nba.p.5432,Karl-Anthony,Towns,PF,NY,ATL,NY@ATL,7:30PM EST,36,42.6," "," "
nba.p.5474,Cameron,Payne,PG,NY,ATL,NY@ATL,7:30PM EST,14,14.8,GTD," "
nba.p.5836,OG,Anunoby,SG,NY,ATL,NY@ATL,7:30PM EST,25,27.6," "," "
nba.p.5843,Josh,Hart,SF,NY,ATL,NY@ATL,7:30PM EST,26,32.7," "," "
nba.p.6021,Mikal,Bridges,SF,NY,ATL,NY@ATL,7:30PM EST,32,30.9," "," "
nba.p.6044,Jalen,Brunson,PG,NY,ATL,NY@ATL,7:30PM EST,45,37.8," "," "
nba.p.6047,Mitchell,Robinson,C,NY,ATL,NY@ATL,7:30PM EST,19,22.0,INJ," "
nba.p.6412,Precious,Achiuwa,C,NY,ATL,NY@ATL,7:30PM EST,18,20.5,INJ," "
nba.p.6578,Miles,McBride,PG,NY,ATL,NY@ATL,7:30PM EST,13,20.4," "," "
nba.p.6600,Jericho,Sims,PF,NY,ATL,NY@ATL,7:30PM EST,11,7.7," "," "
nba.p.10129,Jacob,Toppin,SF,NY,ATL,NY@ATL,7:30PM EST,10,1.6," "," "
nba.p.10297,Pacome,Dadiet,SG,NY,ATL,NY@ATL,7:30PM EST,10,2.5," "," "
nba.p.10303,Kevin,McCullar Jr.,SF,NY,ATL,NY@ATL,7:30PM EST,10,0.0,INJ," "
nba.p.10314,Tyler,Kolek,PG,NY,ATL,NY@ATL,7:30PM EST,10,3.8," "," "
nba.p.10317,Ariel,Hukporti,C,NY,ATL,NY@ATL,7:30PM EST,10,4.4," "," "
nba.p.5155,Cody,Zeller,C,ATL,NY,NY@ATL,7:30PM EST,10,7.0,INJ," "
nba.p.5336,Clint,Capela,C,ATL,NY,NY@ATL,7:30PM EST,27,20.9," "," "
nba.p.5338,Bogdan,Bogdanovic,SG,ATL,NY,NY@ATL,7:30PM EST,25,17.4,INJ," "
nba.p.5487,Larry,Nance Jr.,C,ATL,NY,NY@ATL,7:30PM EST,10,15.4," "," "
nba.p.6016,Trae,Young,PG,ATL,NY,NY@ATL,7:30PM EST,42,45.2,GTD," "
nba.p.6166,De'Andre,Hunter,SF,ATL,NY,NY@ATL,7:30PM EST,20,33.3,INJ," "
