,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4246,Mike,Conley,PG,MIN,CHI,MIN@CHI,8:00PM EST,25,21.7, , ,2024-11-07,4246,0,Mike Conley,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,4246,P,7.9,3.0,4.3,1.3,0.4,1.3,21.75,26.0,20.1,18.5,20.8,36.6,35.775,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.4758449080096534
1,nba.p.5197,Rudy,Gobert,C,MIN,CHI,MIN@CHI,8:00PM EST,36,28.9, , ,2024-11-07,5197,0,Rudy Gobert,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,5197,P,10.4,10.0,1.9,0.6,1.1,1.4,28.95,25.6,15.1,45.3,16.1,44.9,39.775000000000006,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.36739520180301205
2,nba.p.5318,Julius,Randle,PF,MIN,CHI,MIN@CHI,8:00PM EST,38,35.6, , ,2024-11-07,5318,0,Julius Randle,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,5318,P,21.4,6.4,4.7,0.7,0.0,2.7,35.53,28.8,30.0,37.7,41.9,38.3,50.815,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.44466620693130576
3,nba.p.5393,Joe,Ingles,SF,MIN,CHI,MIN@CHI,8:00PM EST,12,2.7, , ,2024-11-07,5393,0,Joe Ingles,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,5393,P,0.0,0.4,1.6,0.0,0.0,0.2,2.68,1.7,1.5,7.2,1.5,1.5,3.0,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.08313153529169348
4,nba.p.5886,PJ,Dozier,SF,MIN,CHI,MIN@CHI,8:00PM EST,10,4.1, , ,2024-11-07,5886,0,PJ Dozier,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,5886,P,2.0,0.5,0.0,0.5,0.0,0.0,4.1,,,,,,,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,
5,nba.p.6028,Donte,DiVincenzo,SG,MIN,CHI,MIN@CHI,8:00PM EST,22,21.8, , ,2024-11-07,6028,0,Donte DiVincenzo,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,6028,P,10.4,3.3,3.4,1.1,0.3,2.0,21.66,32.5,18.4,25.6,19.4,22.4,33.88,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.5120902573968319
6,nba.p.6205,Nickeil,Alexander-Walker,SG,MIN,CHI,MIN@CHI,8:00PM EST,14,17.4, , ,2024-11-07,6205,0,Nickeil Alexander-Walker,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,6205,P,8.3,2.3,3.3,0.6,0.3,1.1,17.61,10.9,19.6,29.9,19.9,11.2,23.419999999999998,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.5562687304375604
7,nba.p.6253,Naz,Reid,C,MIN,CHI,MIN@CHI,8:00PM EST,27,27.5, , ,2024-11-07,6253,0,Naz Reid,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,6253,P,15.3,6.6,1.9,0.3,0.7,1.4,27.67,43.8,18.8,30.6,25.799999999999997,19.3,40.705000000000005,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.5013139472664272
8,nba.p.6355,Anthony,Edwards,SG,MIN,CHI,MIN@CHI,8:00PM EST,46,39.2, , ,2024-11-07,6355,0,Anthony Edwards,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,6355,P,27.3,5.6,3.0,0.9,0.4,3.1,39.32,30.5,33.0,43.8,46.7,39.2,55.095,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.39827234233876974
9,nba.p.6420,Jaden,McDaniels,SF,MIN,CHI,MIN@CHI,8:00PM EST,24,18.1, , ,2024-11-07,6420,0,Jaden McDaniels,114.77,112.76,107.77,113.69,4.0,3.0,3.0,5.0,4.0,3.0,3.0,5.0,2.0,-6.38,-0.82,-1.78,1.18,-8.16,114.8,107.5,112.8,113.5,97.3,105.1,0.278,0.253,0.494,0.473,0.518,0.537,11.3,10.4,21.6,21.2,0.196,0.166,74.8,79.7,Target Center,United Center,75912.0,59559.0,6420,P,8.6,2.4,1.7,0.6,1.1,1.1,18.03,18.6,18.1,17.5,22.8,23.6,28.915,0.95,1.0,1.1477,1.0119999999999998,1.278888888888889,3.847777777777778,0.7819287576020851,0.2598902685532775,0.9522154648132058,0.31648859370488014,0.4006247238265528
