,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPPG_std,FPS1,FPS2,FPS3,FPS4,FPS5,C,PF,PG,SF,SG,U,F,G,FPPG_lowerbound,FPPG_upperbound,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score,log_Value_Score_with_std
0,nba.p.4247,Jeff,Green,PF,HOU,DET,HOU@DET,3:00PM EST,10,4.2, , ,2024-11-10,4247,0,Jeff Green,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,4247,P,2.7,0.3,0.3,0.3,0.0,0.3,4.11,,,,,,,False,True,False,False,False,True,True,False,,,,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,,
1,nba.p.5163,Steven,Adams,C,HOU,DET,HOU@DET,3:00PM EST,18,9.9,O, ,2024-11-10,5163,0,Steven Adams,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,5163,P,3.8,2.8,1.8,0.5,0.0,1.3,10.06,,,,,,,True,False,False,False,False,True,False,False,,,,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,,
2,nba.p.5727,Fred,VanVleet,PG,HOU,DET,HOU@DET,3:00PM EST,36,31.0, , ,2024-11-10,5727,0,Fred VanVleet,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,5727,P,13.9,3.6,5.7,1.6,0.2,1.0,31.17,9.619049387081402,19.6,47.4,36.9,28.1,16.0,False,False,True,False,False,True,False,True,21.380950612918596,40.619049387081404,40.63,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,0.4289499255523771,-2.0057096435002335
3,nba.p.5858,Dillon,Brooks,SF,HOU,DET,HOU@DET,3:00PM EST,13,19.3, , ,2024-11-10,5858,0,Dillon Brooks,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,5858,P,11.9,3.8,0.7,0.6,0.2,0.4,19.51,7.361631008894096,22.3,15.4,16.6,17.0,27.8,False,False,False,True,False,True,True,False,11.938368991105904,26.661631008894098,29.52,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,0.8630486470456126,-1.5014393013377145
4,nba.p.6034,Aaron,Holiday,PG,HOU,DET,HOU@DET,3:00PM EST,10,6.0, , ,2024-11-10,6034,0,Aaron Holiday,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,6034,P,2.3,0.5,1.8,0.3,0.0,0.3,6.2,,,,,,,False,False,True,False,False,True,False,True,,,,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,,
5,nba.p.6463,Jae'Sean,Tate,SG,HOU,DET,HOU@DET,3:00PM EST,10,6.8, , ,2024-11-10,6463,0,Jae'Sean Tate,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,6463,P,2.7,2.3,0.7,0.3,0.0,0.7,6.71,,,,,,,False,False,False,False,True,True,False,True,,,,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,,
6,nba.p.6513,Jalen,Green,SG,HOU,DET,HOU@DET,3:00PM EST,35,32.6, , ,2024-11-10,6513,0,Jalen Green,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,6513,P,21.7,4.6,3.0,0.7,0.4,2.3,32.72,10.179022546394128,20.8,33.0,24.3,17.7,44.4,False,False,False,False,True,True,False,True,22.42097745360587,42.77902254639413,42.620000000000005,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,0.4628152665331902,-2.033676191385679
7,nba.p.6558,Alperen,Sengun,C,HOU,DET,HOU@DET,3:00PM EST,42,39.8, , ,2024-11-10,6558,0,Alperen Sengun,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,6558,P,15.8,11.1,4.1,1.1,1.1,2.1,39.77,13.812403845819162,31.799999999999997,36.0,57.3,33.0,39.4,True,False,False,False,False,True,False,False,25.987596154180835,53.61240384581916,53.62500000000001,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,0.48526647637733317,-2.29987072592458
8,nba.p.6614,Jock,Landale,C,HOU,DET,HOU@DET,3:00PM EST,10,9.6, , ,2024-11-10,6614,0,Jock Landale,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,6614,P,5.3,2.8,0.5,0.2,0.0,0.3,9.71,7.236504681128866,2.4,20.2,4.7,15.4,3.5999999999999996,True,False,False,False,False,True,False,False,2.3634953188711334,16.836504681128865,13.584999999999999,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,0.5163235308654824,-1.6922873894318506
9,nba.p.6693,Jabari,Smith Jr.,PF,HOU,DET,HOU@DET,3:00PM EST,28,22.4, , ,2024-11-10,6693,0,Jabari Smith Jr.,114.69,110.52,109.82,112.3,5.0,4.0,4.0,6.0,6.0,4.0,3.0,6.0,4.11,-2.6,3.94,0.08,8.05,-2.52,114.7,109.7,110.5,112.3,97.4,98.4,0.246,0.234,0.389,0.403,0.524,0.535,13.4,11.5,30.6,26.2,0.231,0.207,74.1,79.7,Toyota Center,Little Caesars Arena,86790.0,94370.0,6693,P,11.6,6.7,0.9,0.3,0.4,0.8,22.29,10.177808102817512,8.2,16.8,14.7,32.4,24.2,False,True,False,False,False,True,True,False,12.222191897182487,32.577808102817514,29.664999999999996,0.95,1.0,1.1469,0.9790000000000001,1.599,2.415,0.6253908692933083,0.41407867494824013,0.7335834896810506,0.4857142857142856,0.4026693712373031,-2.0755532783725443
