,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
10,nba.p.6734,Ryan,Rollins,PG,MIL,MEM,MIL@MEM,8:00PM EDT,10,0.7, , ,2024-10-31,6734,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6734,P,0.7,0.0,0.0,0.0,0.0,0.0,0.7,0.0,2.0,0.0,0.6799999999999999,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.033617192713417184
11,nba.p.6755,AJ,Green,PG,MIL,MEM,MIL@MEM,8:00PM EDT,10,6.5, , ,2024-10-31,6755,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6755,P,4.3,0.5,0.8,0.3,0.0,0.3,6.7,4.2,5.5,11.7,6.130000000000001,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.30304910490183434
12,nba.p.6782,Stanley,Umude,SG,MIL,MEM,MIL@MEM,8:00PM EDT,10,9.8, , ,2024-10-31,6782,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,6782,P,,,,,,,0.0,,,,,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,
13,nba.p.10082,Andre,Jackson Jr.,PG,MIL,MEM,MIL@MEM,8:00PM EDT,10,5.7, , ,2024-10-31,10082,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,10082,P,1.3,1.0,1.0,0.7,0.0,0.3,5.8,9.6,7.5,0.0,6.66,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.3292507403990566
14,nba.p.10088,Chris,Livingston,PF,MIL,MEM,MIL@MEM,8:00PM EDT,10,2.7, , ,2024-10-31,10088,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,10088,P,,,,,,,0.0,,,,,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,
15,nba.p.10227,Liam,Robbins,C,MIL,MEM,MIL@MEM,8:00PM EDT,10,0.0, , ,2024-10-31,10227,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,10227,P,,,,,,,0.0,,,,,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,
16,nba.p.10262,Tyler,Smith,PF,MIL,MEM,MIL@MEM,8:00PM EDT,10,2.7, , ,2024-10-31,10262,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,10262,P,1.8,0.8,0.0,0.0,0.0,0.0,2.76,1.2,3.2,0.0,2.08,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.10282906006457022
17,nba.p.10300,AJ,Johnson,SG,MIL,MEM,MIL@MEM,8:00PM EDT,10,1.1, , ,2024-10-31,10300,0,112.04,116.82,112.8,116.84,25.0,10.0,4.0,4.0,24.0,17.0,17.0,23.0,22.0,19.0,24.0,25.0,27.0,28.0,19.0,14.0,24.0,22.0,7.0,3.0,3.0,12.0,12.0,20.0,19.0,22.0,29.0,9.0,28.0,12.0,13.0,25.0,6.0,27.0,,,30.0,7.0,10300,P,0.7,0.3,0.0,0.0,0.0,0.0,1.06,2.0,1.2,0.0,1.28,0.95,1.0,1.1204,0.05,1.413333333333333,3.0,0.7075471698113208,0.3333333333333333,0.9929245283018868,0.46777777777777774,0.06327942157819706
18,nba.p.5317,Marcus,Smart,SG,MEM,MIL,MIL@MEM,8:00PM EDT,24,16.4,GTD, ,2024-10-31,5317,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,5317,P,5.6,2.2,2.8,1.2,0.6,1.4,16.44,2.7,27.3,20.5,14.88,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,0.3085888429559748
19,nba.p.5825,Luke,Kennard,SG,MEM,MIL,MIL@MEM,8:00PM EDT,17,20.0,INJ, ,2024-10-31,5825,1,112.8,116.84,112.04,116.82,10.0,25.0,4.0,4.0,17.0,24.0,23.0,17.0,19.0,22.0,25.0,24.0,28.0,27.0,14.0,19.0,22.0,24.0,3.0,7.0,12.0,3.0,20.0,12.0,22.0,19.0,9.0,29.0,12.0,28.0,25.0,13.0,27.0,6.0,,,7.0,30.0,5825,P,,,,,,,0.0,,,,,0.95,1.0,1.128,0.05,3.0,1.413333333333333,0.3333333333333333,0.7075471698113208,0.46777777777777774,0.9929245283018868,
