,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4901,Tobias,Harris,SF,DET,BKN,DET@BKN,3:30PM EST,30,29.2, , ,2024-11-03,4901,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,4901,P,11.8,8.3,2.2,0.7,1.3,1.8,29.26,36.1,38.3,26.5,32.82,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.5546375861200789
1,nba.p.5194,Tim,Hardaway Jr.,SG,DET,BKN,DET@BKN,3:30PM EST,19,16.7, , ,2024-11-03,5194,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,5194,P,12.7,1.2,1.8,0.2,0.0,0.7,16.74,12.7,19.5,20.5,16.439999999999998,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.43867227536871434
2,nba.p.5650,Malik,Beasley,SG,DET,BKN,DET@BKN,3:30PM EST,14,15.5, , ,2024-11-03,5650,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,5650,P,11.0,2.2,1.2,0.3,0.2,1.3,15.64,9.5,18.1,6.5,13.320000000000002,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.48235653219636015
3,nba.p.6408,Isaiah,Stewart,PF,DET,BKN,DET@BKN,3:30PM EST,15,18.7, , ,2024-11-03,6408,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6408,P,3.2,6.7,2.2,0.8,1.2,1.7,18.84,16.4,35.7,20.0,21.54,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.7280252044501218
4,nba.p.6450,Paul,Reed,C,DET,BKN,DET@BKN,3:30PM EST,17,9.3, , ,2024-11-03,6450,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6450,P,2.5,1.5,1.0,0.5,1.0,1.0,9.3,,,,,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,
5,nba.p.6512,Cade,Cunningham,PG,DET,BKN,DET@BKN,3:30PM EST,36,43.7, , ,2024-11-03,6512,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6512,P,25.0,5.7,7.2,0.8,1.2,4.8,43.84,40.2,39.5,46.6,42.099999999999994,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.5928865116711183
6,nba.p.6695,Jaden,Ivey,SG,DET,BKN,DET@BKN,3:30PM EST,27,30.1, , ,2024-11-03,6695,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6695,P,19.3,4.5,3.3,1.0,0.0,2.7,29.95,15.0,33.1,26.3,25.79,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.48426106527310026
7,nba.p.6703,Jalen,Duren,C,DET,BKN,DET@BKN,3:30PM EST,30,24.9, , ,2024-11-03,6703,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6703,P,8.0,8.8,2.7,0.2,1.2,1.7,25.11,16.4,6.699999999999999,35.2,19.74,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,0.3335937218162815
8,nba.p.6716,Wendell,Moore Jr.,PG,DET,BKN,DET@BKN,3:30PM EST,10,1.8, , ,2024-11-03,6716,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6716,P,1.0,0.5,0.5,0.0,0.0,0.5,1.85,,,,,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,
9,nba.p.6749,Alondes,Williams,PG,DET,BKN,DET@BKN,3:30PM EST,10,1.0, , ,2024-11-03,6749,0,108.29,116.9,117.11,115.38,27.0,8.0,2.0,11.0,27.0,12.0,27.0,13.0,27.0,11.0,12.0,26.0,28.0,16.0,24.0,5.0,23.0,20.0,27.0,15.0,27.0,21.0,15.0,7.0,22.0,24.0,28.0,10.0,13.0,21.0,14.0,30.0,6.0,8.0,,,16.0,20.0,6749,P,,,,,,,0.0,,,,,0.95,1.0,1.0829,0.21,2.289,1.659,0.436871996505024,0.6027727546714888,0.5976408912188729,0.8245931283905967,
