,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4245,Al,Horford,PF,BOS,CHA,BOS@CHA,7:00PM EDT,21,21.4,O, ,2024-11-01,4245,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,4245,P,9.2,4.4,1.8,1.0,0.6,0.6,21.38,16.3,23.5,33.5,21.5,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.2775677437905362
1,nba.p.4622,Jrue,Holiday,PG,BOS,CHA,BOS@CHA,7:00PM EDT,26,20.2, , ,2024-11-01,4622,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,4622,P,12.2,3.2,3.2,0.2,0.2,1.8,20.24,14.6,29.3,16.6,19.98,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.20833966715497884
2,nba.p.5464,Kristaps,Porzingis,C,BOS,CHA,BOS@CHA,7:00PM EDT,34,36.8,INJ, ,2024-11-01,5464,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,5464,P,,,,,,,0.0,,,,,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,
3,nba.p.5602,Jaylen,Brown,SF,BOS,CHA,BOS@CHA,7:00PM EDT,37,43.7, , ,2024-11-01,5602,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,5602,P,25.8,7.4,3.6,1.6,0.4,2.4,43.68,48.7,39.2,44.5,44.38000000000001,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.3251886685831603
4,nba.p.5765,Jayson,Tatum,PF,BOS,CHA,BOS@CHA,7:00PM EDT,51,52.4, , ,2024-11-01,5765,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,5765,P,30.2,7.0,5.2,2.0,0.6,1.8,52.4,61.599999999999994,36.6,52.8,52.04,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.276641252279115
5,nba.p.5842,Derrick,White,SG,BOS,CHA,BOS@CHA,7:00PM EDT,30,34.4, , ,2024-11-01,5842,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,5842,P,19.2,3.8,4.0,0.8,1.0,0.8,34.36,32.1,34.6,36.7,33.980000000000004,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.30708029552566024
6,nba.p.5903,Luke,Kornet,C,BOS,CHA,BOS@CHA,7:00PM EDT,10,13.2, , ,2024-11-01,5903,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,5903,P,3.2,4.2,1.6,0.4,0.6,0.4,13.24,21.799999999999997,5.7,13.3,14.290000000000001,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.3874200196934978
7,nba.p.6418,Payton,Pritchard,PG,BOS,CHA,BOS@CHA,7:00PM EDT,17,25.5, , ,2024-11-01,6418,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,6418,P,16.2,3.2,2.6,0.8,0.0,0.8,25.54,28.8,42.5,24.4,29.780000000000005,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.47492562410868827
8,nba.p.6427,Xavier,Tillman Sr.,C,BOS,CHA,BOS@CHA,7:00PM EDT,15,8.8, , ,2024-11-01,6427,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,6427,P,2.6,3.2,0.8,0.6,0.0,0.6,8.84,,,,,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,
9,nba.p.6570,Jaden,Springer,PG,BOS,CHA,BOS@CHA,7:00PM EDT,10,2.6, , ,2024-11-01,6570,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,6570,P,0.5,1.5,0.5,0.0,0.0,0.5,2.55,,,,,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,
10,nba.p.6581,Neemias,Queta,C,BOS,CHA,BOS@CHA,7:00PM EDT,11,9.2, , ,2024-11-01,6581,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,6581,P,3.5,4.0,0.3,0.0,0.3,0.3,9.35,17.299999999999997,0.0,19.4,10.809999999999997,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,0.2664298245999561
11,nba.p.6619,Sam,Hauser,SF,BOS,CHA,BOS@CHA,7:00PM EDT,16,15.7, , ,2024-11-01,6619,0,124.89,113.02,118.55,119.32,2.0,12.0,26.0,14.0,3.0,18.0,4.0,11.0,4.0,15.0,26.0,24.0,6.0,22.0,2.0,5.0,13.0,29.0,16.0,14.0,27.0,15.0,1.0,5.0,21.0,17.0,14.0,27.0,15.0,1.0,10.0,24.0,9.0,22.0,,,18.0,28.0,6619,P,7.5,3.5,1.0,0.5,0.5,0.5,15.7,,,,,0.95,1.0,1.2489,0.15,1.19,4.957,0.8403361344537815,0.2017349203147065,0.9756302521008404,0.23421424248537426,
