,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,FPS4,FPS5,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
10,nba.p.6766,Simone,Fontecchio,PF,DET,CHA,DET@CHA,7:00PM EST,13,10.3, , ,2024-11-06,6766,0,Simone Fontecchio,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6766,P,5.4,3.4,0.5,0.1,0.1,0.6,10.23,6.9,18.1,14.8,8.8,13.8,16.2,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,0.46101940450308615
11,nba.p.6799,Cole,Swider,C,DET,CHA,DET@CHA,7:00PM EST,10,3.1, , ,2024-11-06,6799,0,Cole Swider,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,6799,P,,,,,,,0.0,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
12,nba.p.10096,Ausar,Thompson,SF,DET,CHA,DET@CHA,7:00PM EST,18,24.0,INJ, ,2024-11-06,10096,0,Ausar Thompson,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,10096,P,,,,,,,0.0,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
13,nba.p.10114,Marcus,Sasser,SG,DET,CHA,DET@CHA,7:00PM EST,10,3.2, , ,2024-11-06,10114,0,Marcus Sasser,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,10114,P,1.0,0.5,0.8,0.3,0.0,0.3,3.4,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
14,nba.p.10263,Ron,Holland II,SF,DET,CHA,DET@CHA,7:00PM EST,11,11.7, , ,2024-11-06,10263,0,Ron Holland II,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,10263,P,6.0,2.8,0.5,0.6,0.1,0.6,11.61,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
15,nba.p.10316,Daniss,Jenkins,PG,DET,CHA,DET@CHA,7:00PM EST,10,0.0, , ,2024-11-06,10316,0,Daniss Jenkins,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,10316,P,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
16,nba.p.10331,Bobi,Klintman,PF,DET,CHA,DET@CHA,7:00PM EST,10,0.0,INJ, ,2024-11-06,10331,0,Bobi Klintman,109.71,112.81,112.73,119.98,3.0,2.0,5.0,5.0,3.0,2.0,5.0,5.0,-3.25,-7.0,1.46,2.71,-1.79,-4.29,109.5,113.1,112.9,120.2,97.0,98.4,0.237,0.218,0.415,0.486,0.538,0.549,11.2,11.4,27.8,30.0,0.214,0.265,80.6,73.4,Little Caesars Arena,Spectrum Center,76457.0,70025.0,10331,P,,,,,,,0.0,,,,,,,0.95,1.0,1.0971,0.977,1.9766666666666666,1.8522222222222224,0.5059021922428331,0.5398920215956808,0.5834738617200674,0.6226754649070185,
17,nba.p.4631,Taj,Gibson,C,CHA,DET,DET@CHA,7:00PM EST,10,9.8, , ,2024-11-06,4631,1,Taj Gibson,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,4631,P,3.5,4.0,0.0,0.5,0.0,0.0,9.8,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
18,nba.p.5245,Seth,Curry,SG,CHA,DET,DET@CHA,7:00PM EST,12,15.2, , ,2024-11-06,5245,1,Seth Curry,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,5245,P,8.3,2.8,1.0,0.7,0.2,0.5,15.36,6.4,13.4,8.9,22.8,26.0,23.325,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
19,nba.p.5363,Vasilije,Micic,PG,CHA,DET,DET@CHA,7:00PM EST,16,7.9, , ,2024-11-06,5363,1,Vasilije Micic,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,5363,P,2.3,3.7,1.0,0.3,0.0,1.3,7.84,,,,,,,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
20,nba.p.6023,Miles,Bridges,PF,CHA,DET,DET@CHA,7:00PM EST,36,26.3, , ,2024-11-06,6023,1,Miles Bridges,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6023,P,12.9,6.7,2.6,0.6,0.6,1.9,26.54,22.2,26.1,28.9,14.600000000000001,30.799999999999997,35.19499999999999,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
21,nba.p.6210,Grant,Williams,PF,CHA,DET,DET@CHA,7:00PM EST,18,19.4, , ,2024-11-06,6210,1,Grant Williams,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6210,P,8.1,3.6,2.7,1.1,0.3,1.4,19.27,15.100000000000001,11.6,22.9,30.9,11.9,26.455,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
22,nba.p.6224,Cody,Martin,SG,CHA,DET,DET@CHA,7:00PM EST,15,20.1,GTD, ,2024-11-06,6224,1,Cody Martin,112.73,119.98,109.71,112.81,,3.0,,5.0,,3.0,,5.0,,-3.25,,1.46,,-1.79,,109.5,,112.9,,97.0,,0.237,,0.415,,0.538,,11.2,,27.8,,0.214,,80.6,,Little Caesars Arena,,76457.0,6224,P,10.0,4.3,1.3,0.9,0.4,0.9,20.11,16.1,18.3,17.1,35.8,20.6,31.485,0.95,1.0,1.1273,,1.8522222222222224,1.9766666666666666,0.5398920215956808,0.5059021922428331,0.6226754649070185,0.5834738617200674,
