,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPS1,FPS2,FPS3,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score
0,nba.p.4614,DeMar,DeRozan,PF,SAC,TOR,SAC@TOR,7:30PM EDT,41,41.4, , ,2024-11-02,4614,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,4614,P,23.8,4.8,3.6,2.2,0.4,1.4,41.36,50.6,41.8,40.3,44.129999999999995,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.3039094820565172
1,nba.p.5156,Alex,Len,C,SAC,TOR,SAC@TOR,7:30PM EDT,10,7.3, , ,2024-11-02,5156,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,5156,P,1.3,2.3,1.3,0.3,0.5,0.8,7.61,6.8,10.2,4.9,7.49,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.21148326046847013
2,nba.p.5322,Doug,McDermott,SF,SAC,TOR,SAC@TOR,7:30PM EDT,10,2.7, , ,2024-11-02,5322,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,5322,P,2.7,0.0,0.0,0.0,0.0,0.0,2.7,2.0,6.0,0.0,2.8800000000000003,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.08131799601457865
3,nba.p.5472,Trey,Lyles,C,SAC,TOR,SAC@TOR,7:30PM EDT,14,14.8, , ,2024-11-02,5472,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,5472,P,3.6,3.4,1.0,1.0,1.0,0.4,14.78,19.0,23.9,5.0,16.900000000000002,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.34084179877142334
4,nba.p.5642,Domantas,Sabonis,C,SAC,TOR,SAC@TOR,7:30PM EDT,51,44.7, , ,2024-11-02,5642,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,5642,P,22.4,11.6,5.6,0.6,0.4,3.0,44.72,37.8,44.2,39.1,41.97,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.23236085870995812
5,nba.p.5767,De'Aaron,Fox,PG,SAC,TOR,SAC@TOR,7:30PM EDT,45,41.3, , ,2024-11-02,5767,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,5767,P,23.4,5.0,6.6,2.0,0.0,4.0,41.3,49.9,34.0,38.7,42.16,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.2645344685165613
6,nba.p.5824,Malik,Monk,SG,SAC,TOR,SAC@TOR,7:30PM EDT,22,22.8, , ,2024-11-02,5824,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,5824,P,11.8,3.2,3.6,0.4,0.4,0.6,22.84,21.8,18.3,21.8,21.5,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.275937012991389
7,nba.p.6030,Kevin,Huerter,SG,SAC,TOR,SAC@TOR,7:30PM EDT,16,22.7, , ,2024-11-02,6030,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,6030,P,11.6,2.8,1.8,1.0,0.8,0.4,22.66,20.4,29.0,34.2,24.42,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.43094302575434257
8,nba.p.6133,Jordan,McLaughlin,PG,SAC,TOR,SAC@TOR,7:30PM EDT,10,0.3, , ,2024-11-02,6133,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,6133,P,0.0,0.0,0.7,0.0,0.0,0.7,0.35,1.5,-0.5,0.0,0.47,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,0.013270645182934707
9,nba.p.6453,Mason,Jones,SG,SAC,TOR,SAC@TOR,7:30PM EDT,10,4.9, , ,2024-11-02,6453,0,116.18,109.67,114.23,121.85,7.0,26.0,18.0,1.0,6.0,23.0,6.0,27.0,6.0,26.0,25.0,14.0,10.0,26.0,8.0,11.0,7.0,30.0,8.0,11.0,11.0,15.0,19.0,30.0,12.0,27.0,5.0,21.0,28.0,2.0,11.0,28.0,9.0,16.0,,,27.0,1.0,6453,P,,,,,,,0.0,,,,,0.95,1.0,1.1618,0.095,1.2870000000000001,3.776,0.777000777000777,0.2648305084745763,0.8663558663558663,0.2952860169491526,
