,ID,First Name,Last Name,Position,Team,Opponent,Game,Time,Salary,FPPG,Injury Status,Starting,date,parsed_id,Home_Game,full_name,ORTG,DRTG,Opponent_ORTG,Opponent_DRTG,W,Opponent_W,L,Opponent_L,PW,Opponent_PW,PL,Opponent_PL,MOV,Opponent_MOV,SOS,Opponent_SOS,SRS,Opponent_SRS,ORtg,Opponent_ORtg,DRtg,Opponent_DRtg,Pace,Opponent_Pace,FTr,Opponent_FTr,3PAr,Opponent_3PAr,eFG%,Opponent_eFG%,TOV%,Opponent_TOV%,ORB%,Opponent_ORB%,FT/FGA,Opponent_FT/FGA,DRB%,Opponent_DRB%,ARENA,Opponent_ARENA,ATTENDANCE,Opponent_ATTENDANCE,player_id,position_type,PTS,REB,AST,ST,BLK,TO,total_points,FPPG_std,FPS1,FPS2,FPS3,FPS4,FPS5,C,PF,PG,SF,SG,U,F,G,FPPG_lowerbound,FPPG_upperbound,weighted_FPS,Home_Modifier,Opponent_Modifier,Team_Modifier,Pace_Modifier,Team_Odds,Opponent_Odds,Adjusted_Team_Odds,Adjusted_Opponent_Odds,Normalized_Team_Odds,Normalized_Opponent_Odds,Value_Score,log_Value_Score_with_std
0,nba.p.4614,DeMar,DeRozan,PF,SAC,SA,SAC@SA,8:00PM EST,41,40.0, , ,2024-11-11,4614,0,DeMar DeRozan,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,4614,P,25.2,3.6,4.0,1.8,0.4,2.1,40.02,6.675627311346853,43.1,27.2,33.9,43.6,45.6,False,True,False,False,False,True,True,False,33.32437268865315,46.67562731134685,58.364999999999995,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.517127603767674,-1.6212312118164656
1,nba.p.5156,Alex,Len,C,SAC,SA,SAC@SA,8:00PM EST,10,8.8, , ,2024-11-11,5156,0,Alex Len,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,5156,P,1.1,2.7,0.9,0.3,1.0,0.7,8.89,5.847140123089886,3.5999999999999996,21.2,7.699999999999999,6.8,10.2,True,False,False,False,False,True,False,False,2.9528598769101144,14.647140123089887,13.474999999999998,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.4895058217965317,-1.5253866630966262
2,nba.p.5322,Doug,McDermott,SF,SAC,SA,SAC@SA,8:00PM EST,10,3.4, , ,2024-11-11,5322,0,Doug McDermott,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,5322,P,2.5,0.3,0.0,0.2,0.0,0.0,3.46,,,,,,,False,False,False,True,False,True,True,False,,,,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,,
3,nba.p.5472,Trey,Lyles,C,SAC,SA,SAC@SA,8:00PM EST,14,11.0, , ,2024-11-11,5472,0,Trey Lyles,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,5472,P,3.6,3.1,0.6,0.5,0.6,0.5,11.02,7.682273968906168,17.2,2.4,2.7,5.2,8.8,True,False,False,False,False,True,False,False,3.317726031093832,18.682273968906166,13.675,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.35483658166273907,-1.857602629227114
4,nba.p.5642,Domantas,Sabonis,C,SAC,SA,SAC@SA,8:00PM EST,51,45.8, , ,2024-11-11,5642,0,Domantas Sabonis,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,5642,P,20.5,12.9,6.9,0.6,0.2,2.9,45.83,8.700708783388475,35.9,47.4,52.7,42.7,56.0,True,False,False,False,False,True,False,False,37.09929121661152,54.500708783388475,65.88,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.46925888231591545,-1.887440841323687
5,nba.p.5767,De'Aaron,Fox,PG,SAC,SA,SAC@SA,8:00PM EST,45,39.2, , ,2024-11-11,5767,0,De'Aaron Fox,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,5767,P,24.2,5.2,4.9,1.7,0.0,3.7,39.19,7.715561475932189,46.2,30.6,27.2,38.7,42.7,False,False,True,False,False,True,False,True,31.484438524067812,46.91556147593219,57.370000000000005,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.46312841057871823,-1.7845332129963984
6,nba.p.5824,Malik,Monk,SG,SAC,SA,SAC@SA,8:00PM EST,22,23.5,O, ,2024-11-11,5824,0,Malik Monk,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,5824,P,12.6,3.0,2.8,0.9,0.4,0.8,23.5,8.068457101577724,12.6,33.7,25.5,12.2,36.8,False,False,False,False,True,True,False,True,15.431542898422276,31.568457101577724,33.445,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.5522523936577839,-1.7650951062585
7,nba.p.6030,Kevin,Huerter,SG,SAC,SA,SAC@SA,8:00PM EST,16,22.4, , ,2024-11-11,6030,0,Kevin Huerter,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,6030,P,11.3,3.4,2.0,1.0,0.6,0.8,22.38,12.147986311672046,41.4,7.9,16.8,20.4,29.0,False,False,False,False,True,True,False,True,10.252013688327953,34.54798631167205,36.15,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.8207623125206224,-1.9770133482780348
8,nba.p.6133,Jordan,McLaughlin,PG,SAC,SA,SAC@SA,8:00PM EST,10,2.4, , ,2024-11-11,6133,0,Jordan McLaughlin,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,6133,P,0.4,0.4,0.4,0.4,0.0,0.4,2.28,3.7677832310511805,0.0,1.2,9.9,5.0,1.5,False,False,True,False,False,True,False,True,-1.3677832310511806,6.16778323105118,3.3200000000000003,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,0.12060551601962785,-1.448012286925849
9,nba.p.6453,Mason,Jones,SG,SAC,SA,SAC@SA,8:00PM EST,10,4.9, , ,2024-11-11,6453,0,Mason Jones,115.13,110.61,109.17,111.18,6.0,4.0,4.0,6.0,6.0,4.0,4.0,6.0,4.5,-2.1,-3.5,0.82,1.0,-1.28,115.0,109.0,110.6,111.2,100.1,97.5,0.283,0.233,0.38,0.44,0.534,0.526,13.8,12.6,21.7,25.7,0.193,0.172,77.8,75.3,Golden 1 Center,Frost Bank Center,68333.0,89965.0,6453,P,,,,,,,0.0,,,,,,,False,False,False,False,True,True,False,True,,,,0.95,1.0,1.1513,0.988,1.8900000000000001,1.9357142857142857,0.5291005291005291,0.5166051660516605,0.5867724867724867,0.5729151291512915,,
