,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,OKC,W,NW,8,2,0.8,12.8,112.94,100.49,12.45,13.31,112.72,99.62,13.1
1,2,2024-25,CLE,E,C,11,0,1.0,12.55,122.32,110.03,12.3,10.94,121.25,110.58,10.66
2,3,2024-25,GSW,W,P,8,2,0.8,11.9,120.15,108.33,11.82,10.45,120.59,110.21,10.39
3,4,2024-25,BOS,E,A,9,2,0.818,10.55,120.09,109.42,10.67,9.04,118.92,109.78,9.13
4,5,2024-25,HOU,W,SW,6,4,0.6,3.9,113.6,109.64,3.96,6.84,115.84,108.99,6.86
5,6,2024-25,MEM,W,SW,7,4,0.636,9.36,116.61,107.87,8.73,5.71,115.82,110.64,5.18
6,7,2024-25,NYK,E,A,4,5,0.444,3.22,120.14,116.97,3.18,4.33,119.61,115.39,4.23
7,8,2024-25,DEN,W,NW,7,3,0.7,2.9,118.42,115.74,2.68,4.16,120.58,116.73,3.86
8,9,2024-25,DAL,W,SW,5,5,0.5,4.0,116.2,112.38,3.83,3.72,116.04,112.42,3.62
9,10,2024-25,MIN,W,NW,6,4,0.6,5.4,115.64,110.34,5.3,3.53,113.89,110.39,3.5
10,11,2024-25,LAC,W,P,6,4,0.6,2.2,111.44,108.94,2.49,2.76,111.67,108.56,3.11
11,12,2024-25,ORL,E,SE,5,6,0.455,1.73,109.5,107.33,2.17,1.78,109.06,107.02,2.04
12,13,2024-25,PHO,W,P,8,2,0.8,2.1,115.11,112.85,2.26,1.51,115.06,113.24,1.81
13,14,2024-25,SAC,W,P,6,4,0.6,4.5,115.13,110.61,4.52,1.0,113.09,111.92,1.17
14,15,2024-25,BRK,E,A,4,6,0.4,-1.1,112.2,113.35,-1.15,0.93,112.74,111.94,0.81
15,16,2024-25,LAL,W,P,6,4,0.6,-0.3,116.88,116.81,0.07,-0.04,116.61,116.37,0.24
16,17,2024-25,MIA,E,SE,4,5,0.444,-0.89,112.15,113.19,-1.04,-0.73,112.59,113.43,-0.84
17,18,2024-25,SAS,W,SW,4,6,0.4,-2.1,109.17,111.18,-2.01,-1.28,111.8,112.89,-1.09
18,19,2024-25,DET,E,C,4,7,0.364,-2.55,109.09,111.53,-2.44,-1.54,108.32,109.82,-1.5
19,20,2024-25,MIL,E,C,2,8,0.2,-5.1,111.57,116.59,-5.02,-2.65,112.0,114.69,-2.7
20,21,2024-25,IND,E,C,5,5,0.5,-2.6,114.97,117.81,-2.84,-2.52,115.54,118.35,-2.81
21,22,2024-25,CHO,E,SE,4,6,0.4,-3.0,110.58,113.62,-3.03,-2.73,110.21,113.02,-2.81
22,23,2024-25,CHI,E,C,4,6,0.4,-5.5,110.44,115.65,-5.21,-5.96,111.4,117.15,-5.75
23,24,2024-25,TOR,E,A,2,9,0.182,-7.45,113.5,121.2,-7.7,-5.95,113.18,119.39,-6.21
24,25,2024-25,ATL,E,SE,4,7,0.364,-5.55,113.05,118.25,-5.2,-6.86,113.19,119.72,-6.53
25,26,2024-25,PHI,E,A,2,7,0.222,-7.56,108.32,116.22,-7.89,-8.16,107.76,116.28,-8.53
26,27,2024-25,POR,W,NW,3,8,0.273,-11.09,105.57,115.8,-10.23,-10.93,106.21,116.39,-10.18
27,28,2024-25,WAS,E,SE,2,6,0.25,-13.5,106.46,119.82,-13.36,-10.57,107.04,117.47,-10.43
28,29,2024-25,NOP,W,SW,3,7,0.3,-10.3,109.13,120.1,-10.96,-11.75,108.11,120.29,-12.18
29,30,2024-25,UTA,W,NW,2,7,0.222,-13.89,103.61,117.35,-13.75,-12.35,103.55,115.78,-12.24
