,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,OKC,W,NW,8,1,0.889,15.44,112.39,97.32,15.07,15.52,112.12,96.87,15.25
1,2,2024-25,CLE,E,C,11,0,1.0,12.55,122.32,110.03,12.3,10.61,121.86,111.51,10.35
2,3,2024-25,BOS,E,A,8,2,0.8,11.0,120.54,109.42,11.12,9.62,119.92,110.14,9.78
3,4,2024-25,GSW,W,P,7,2,0.778,12.0,119.15,107.26,11.89,9.81,118.32,108.6,9.71
4,5,2024-25,HOU,W,SW,5,4,0.556,4.11,114.69,110.52,4.17,8.05,117.77,109.7,8.07
5,6,2024-25,NYK,E,A,4,4,0.5,5.0,120.06,115.12,4.94,6.22,119.33,113.17,6.16
6,7,2024-25,MIN,W,NW,6,3,0.667,6.11,117.91,111.91,6.0,4.71,116.57,111.91,4.66
7,8,2024-25,DEN,W,NW,6,3,0.667,3.0,117.51,114.76,2.75,4.82,120.3,115.79,4.51
8,9,2024-25,LAC,W,P,6,4,0.6,2.2,111.44,108.94,2.49,3.58,112.25,108.39,3.86
9,10,2024-25,DAL,W,SW,5,4,0.556,4.67,115.27,110.79,4.48,3.94,115.16,111.36,3.8
10,11,2024-25,PHO,W,P,8,1,0.889,3.33,116.46,113.08,3.38,2.55,116.16,113.51,2.65
11,12,2024-25,MEM,W,SW,6,4,0.6,5.8,116.13,110.6,5.53,2.19,115.47,113.48,1.98
12,13,2024-25,SAC,W,P,5,4,0.556,4.0,115.61,111.46,4.15,0.66,113.27,112.35,0.92
13,14,2024-25,SAS,W,SW,4,6,0.4,-2.1,109.17,111.18,-2.01,-0.19,111.84,111.89,-0.05
14,15,2024-25,BRK,E,A,4,6,0.4,-1.1,112.2,113.35,-1.15,-0.09,112.03,112.17,-0.14
15,16,2024-25,ORL,E,SE,4,6,0.4,-0.8,107.44,107.96,-0.51,-0.41,107.0,107.33,-0.33
16,17,2024-25,MIA,E,SE,3,5,0.375,-1.13,114.14,115.44,-1.3,-1.03,114.9,116.03,-1.13
17,18,2024-25,CHO,E,SE,4,5,0.444,-3.11,111.79,114.95,-3.16,-1.69,111.13,112.85,-1.72
18,19,2024-25,LAL,W,P,5,4,0.556,-2.56,114.9,117.26,-2.36,-1.86,114.5,116.22,-1.72
19,20,2024-25,DET,E,C,4,6,0.4,-2.6,109.82,112.3,-2.48,-2.52,108.16,110.61,-2.45
20,21,2024-25,MIL,E,C,2,7,0.222,-5.0,111.8,116.71,-4.9,-3.86,111.31,115.15,-3.84
21,22,2024-25,TOR,E,A,2,8,0.2,-6.2,113.57,119.85,-6.28,-4.56,113.31,117.99,-4.68
22,23,2024-25,IND,E,C,4,5,0.444,-4.11,113.1,117.47,-4.38,-4.83,114.01,119.19,-5.18
23,24,2024-25,ATL,E,SE,4,7,0.364,-5.55,113.05,118.25,-5.2,-6.24,114.06,119.89,-5.83
24,25,2024-25,CHI,E,C,4,6,0.4,-5.5,110.44,115.65,-5.21,-6.32,111.26,117.35,-6.09
25,26,2024-25,POR,W,NW,3,7,0.3,-7.7,108.06,115.24,-7.18,-7.42,108.94,115.97,-7.03
26,27,2024-25,WAS,E,SE,2,5,0.286,-11.57,107.23,118.36,-11.13,-8.9,106.31,114.72,-8.41
27,28,2024-25,PHI,E,A,1,7,0.125,-8.75,109.16,118.28,-9.12,-9.91,108.15,118.44,-10.29
28,29,2024-25,NOP,W,SW,3,7,0.3,-10.3,109.13,120.1,-10.96,-11.28,108.39,120.23,-11.84
29,30,2024-25,UTA,W,NW,2,7,0.222,-13.89,103.61,117.35,-13.75,-12.68,103.81,116.35,-12.54
