,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,OKC,W,NW,9,2,0.818,12.18,114.86,103.0,11.86,13.29,115.3,102.16,13.14
1,2,2024-25,GSW,W,P,8,2,0.8,11.9,120.15,108.33,11.82,10.7,120.47,109.82,10.64
2,3,2024-25,CLE,E,C,12,0,1.0,12.0,121.68,109.92,11.75,9.98,120.46,110.73,9.72
3,4,2024-25,BOS,E,A,9,2,0.818,10.55,120.09,109.42,10.67,8.87,118.91,109.95,8.96
4,5,2024-25,HOU,W,SW,7,4,0.636,4.91,112.94,107.99,4.96,7.2,114.76,107.5,7.25
5,6,2024-25,MEM,W,SW,7,4,0.636,9.36,116.61,107.87,8.73,5.65,116.12,111.0,5.12
6,7,2024-25,NYK,E,A,4,5,0.444,3.22,120.14,116.97,3.18,4.15,119.66,115.62,4.05
7,8,2024-25,DAL,W,SW,5,5,0.5,4.0,116.2,112.38,3.83,4.06,116.62,112.65,3.97
8,9,2024-25,DEN,W,NW,7,3,0.7,2.9,118.42,115.74,2.68,4.03,119.66,115.93,3.73
9,10,2024-25,MIN,W,NW,6,4,0.6,5.4,115.64,110.34,5.3,3.55,114.07,110.56,3.52
10,11,2024-25,LAC,W,P,6,5,0.545,1.45,112.95,111.23,1.72,3.14,114.21,110.78,3.44
11,12,2024-25,ORL,E,SE,5,6,0.455,1.73,109.5,107.33,2.17,1.79,108.93,106.87,2.06
12,13,2024-25,PHO,W,P,8,2,0.8,2.1,115.11,112.85,2.26,1.35,114.46,112.83,1.63
13,14,2024-25,SAS,W,SW,5,6,0.455,-0.09,110.31,110.23,0.08,0.83,112.74,111.63,1.12
14,15,2024-25,BRK,E,A,5,6,0.455,-0.82,112.49,113.34,-0.85,-0.05,112.42,112.6,-0.18
15,16,2024-25,LAL,W,P,6,4,0.6,-0.3,116.88,116.81,0.07,-0.52,116.49,116.75,-0.26
16,17,2024-25,SAC,W,P,6,5,0.545,2.27,113.82,111.61,2.21,-0.93,111.86,112.71,-0.85
17,18,2024-25,MIA,E,SE,4,5,0.444,-0.89,112.15,113.19,-1.04,-1.02,112.72,113.86,-1.14
18,19,2024-25,DET,E,C,4,7,0.364,-2.55,109.09,111.53,-2.44,-1.82,108.28,110.06,-1.78
19,20,2024-25,IND,E,C,5,5,0.5,-2.6,114.97,117.81,-2.84,-2.49,115.48,118.27,-2.78
20,21,2024-25,MIL,E,C,2,8,0.2,-5.1,111.57,116.59,-5.02,-2.89,111.96,114.89,-2.93
21,22,2024-25,CHO,E,SE,4,6,0.4,-3.0,110.58,113.62,-3.03,-2.87,110.24,113.19,-2.95
22,23,2024-25,CHI,E,C,4,7,0.364,-5.55,110.29,115.55,-5.26,-5.03,111.04,115.87,-4.83
23,24,2024-25,ATL,E,SE,4,7,0.364,-5.55,113.05,118.25,-5.2,-7.0,113.12,119.8,-6.67
24,25,2024-25,TOR,E,A,2,9,0.182,-7.45,113.5,121.2,-7.7,-6.49,112.89,119.66,-6.77
25,26,2024-25,PHI,E,A,2,7,0.222,-7.56,108.32,116.22,-7.89,-8.33,107.39,116.1,-8.7
26,27,2024-25,POR,W,NW,3,8,0.273,-11.09,105.57,115.8,-10.23,-10.61,105.89,115.73,-9.85
27,28,2024-25,WAS,E,SE,2,7,0.222,-13.67,104.79,118.33,-13.54,-10.42,105.87,116.15,-10.28
28,29,2024-25,NOP,W,SW,3,8,0.273,-9.55,109.5,119.67,-10.16,-10.75,109.0,120.16,-11.16
29,30,2024-25,UTA,W,NW,2,7,0.222,-13.89,103.61,117.35,-13.75,-11.97,103.93,115.78,-11.85
