,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,GSW,W,P,7,1,0.875,15.88,120.35,104.75,15.6,14.28,119.93,105.95,13.98
1,2,2024-25,OKC,W,NW,7,1,0.875,15.0,110.97,96.34,14.63,13.8,110.16,96.63,13.53
2,3,2024-25,BOS,E,A,7,2,0.778,11.78,122.42,110.49,11.93,11.15,121.45,110.19,11.26
3,4,2024-25,HOU,W,SW,5,3,0.625,7.0,115.89,108.86,7.03,10.15,117.39,107.28,10.11
4,5,2024-25,CLE,E,C,9,0,1.0,12.67,122.7,110.25,12.45,9.41,121.54,112.33,9.22
5,6,2024-25,NYK,E,A,3,4,0.429,2.57,119.31,117.06,2.26,5.55,119.56,114.37,5.2
6,7,2024-25,LAC,W,P,4,4,0.5,1.38,112.01,110.31,1.7,4.32,114.65,110.08,4.57
7,8,2024-25,DAL,W,SW,5,3,0.625,5.38,114.0,108.82,5.18,3.87,113.76,109.99,3.76
8,9,2024-25,PHO,W,P,7,1,0.875,3.63,115.19,111.53,3.66,2.67,114.59,111.81,2.78
9,10,2024-25,MIN,W,NW,5,3,0.625,3.75,117.65,113.85,3.8,2.15,115.92,113.69,2.23
10,11,2024-25,DEN,W,NW,5,3,0.625,1.75,115.5,114.02,1.49,2.22,117.8,115.87,1.94
11,12,2024-25,SAS,W,SW,4,5,0.444,-2.22,109.59,111.72,-2.13,1.79,113.69,111.78,1.91
12,13,2024-25,SAC,W,P,5,3,0.625,5.63,117.41,111.58,5.83,1.0,113.89,112.6,1.29
13,14,2024-25,MIA,E,SE,3,4,0.429,0.57,113.2,112.85,0.35,-0.11,114.23,114.52,-0.29
14,15,2024-25,MEM,W,SW,5,4,0.556,3.78,115.87,112.2,3.68,-0.48,114.35,114.81,-0.46
15,16,2024-25,DET,E,C,3,6,0.333,-3.0,109.35,112.21,-2.86,-2.55,107.35,109.88,-2.53
16,17,2024-25,ORL,E,SE,3,6,0.333,-3.89,106.21,109.87,-3.66,-2.85,106.01,108.72,-2.71
17,18,2024-25,BRK,E,A,4,4,0.5,-0.25,114.22,114.5,-0.28,-2.89,113.23,116.03,-2.8
18,19,2024-25,LAL,W,P,4,4,0.5,-4.13,114.45,118.38,-3.93,-3.08,114.72,117.56,-2.84
19,20,2024-25,IND,E,C,4,4,0.5,-2.13,116.2,118.47,-2.26,-2.73,117.42,120.42,-3.0
20,21,2024-25,MIL,E,C,2,6,0.25,-2.88,113.09,115.63,-2.54,-3.69,111.52,114.87,-3.35
21,22,2024-25,CHO,E,SE,3,5,0.375,-6.0,112.07,118.29,-6.21,-3.38,112.64,116.2,-3.56
22,23,2024-25,POR,W,NW,3,6,0.333,-5.78,109.37,114.72,-5.36,-4.02,111.35,115.13,-3.78
23,24,2024-25,ATL,E,SE,4,5,0.444,-5.33,113.53,118.5,-4.97,-4.5,114.54,118.73,-4.19
24,25,2024-25,WAS,E,SE,2,4,0.333,-9.5,109.15,118.42,-9.27,-5.21,109.32,114.3,-4.98
25,26,2024-25,TOR,E,A,2,7,0.222,-6.67,114.44,121.19,-6.75,-6.48,112.99,119.59,-6.61
26,27,2024-25,NOP,W,SW,3,6,0.333,-8.44,111.18,120.27,-9.09,-7.34,110.58,118.53,-7.95
27,28,2024-25,CHI,E,C,3,6,0.333,-7.44,109.3,116.38,-7.08,-8.77,110.52,118.93,-8.41
28,29,2024-25,PHI,E,A,1,6,0.143,-8.57,109.29,118.25,-8.96,-9.85,108.37,118.56,-10.19
29,30,2024-25,UTA,W,NW,1,7,0.125,-15.75,103.27,118.86,-15.58,-14.47,103.75,118.0,-14.25
