,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,OKC,W,NW,8,1,0.889,15.44,112.39,97.32,15.07,15.69,112.17,96.74,15.43
1,2,2024-25,CLE,E,C,10,0,1.0,13.3,123.17,110.18,12.99,11.04,122.57,111.86,10.72
2,3,2024-25,BOS,E,A,8,2,0.8,11.0,120.54,109.42,11.12,9.69,120.01,110.16,9.85
3,4,2024-25,GSW,W,P,7,2,0.778,12.0,119.15,107.26,11.89,9.88,118.25,108.47,9.78
4,5,2024-25,HOU,W,SW,5,4,0.556,4.11,114.69,110.52,4.17,8.53,118.08,109.52,8.56
5,6,2024-25,NYK,E,A,4,4,0.5,5.0,120.06,115.12,4.94,6.45,119.39,113.01,6.38
6,7,2024-25,LAC,W,P,5,4,0.556,2.22,111.84,109.3,2.54,4.45,113.54,108.78,4.77
7,8,2024-25,MIN,W,NW,6,3,0.667,6.11,117.91,111.91,6.0,4.53,116.5,112.01,4.48
8,9,2024-25,DEN,W,NW,6,3,0.667,3.0,117.51,114.76,2.75,4.44,119.79,115.66,4.13
9,10,2024-25,DAL,W,SW,5,4,0.556,4.67,115.27,110.79,4.48,3.71,115.04,111.46,3.58
10,11,2024-25,PHO,W,P,8,1,0.889,3.33,116.46,113.08,3.38,2.68,116.12,113.33,2.79
11,12,2024-25,SAS,W,SW,4,5,0.444,-2.22,109.59,111.72,-2.13,1.35,112.86,111.36,1.5
12,13,2024-25,MEM,W,SW,6,4,0.6,5.8,116.13,110.6,5.53,1.61,115.12,113.7,1.42
13,14,2024-25,SAC,W,P,5,4,0.556,4.0,115.61,111.46,4.15,0.5,112.87,112.11,0.75
14,15,2024-25,ORL,E,SE,4,6,0.4,-0.8,107.44,107.96,-0.51,-0.72,106.77,107.4,-0.63
15,16,2024-25,BRK,E,A,4,5,0.444,-0.67,112.62,113.29,-0.67,-1.03,112.17,113.18,-1.01
16,17,2024-25,MIA,E,SE,3,5,0.375,-1.13,114.14,115.44,-1.3,-1.03,115.15,116.28,-1.13
17,18,2024-25,CHO,E,SE,4,5,0.444,-3.11,111.79,114.95,-3.16,-1.58,111.08,112.7,-1.62
18,19,2024-25,LAL,W,P,5,4,0.556,-2.56,114.9,117.26,-2.36,-1.97,114.47,116.31,-1.84
19,20,2024-25,DET,E,C,4,6,0.4,-2.6,109.82,112.3,-2.48,-2.43,108.12,110.5,-2.37
20,21,2024-25,MIL,E,C,2,7,0.222,-5.0,111.8,116.71,-4.9,-4.34,110.92,115.23,-4.31
21,22,2024-25,ATL,E,SE,4,6,0.4,-4.9,113.45,118.01,-4.56,-5.01,115.11,119.73,-4.62
22,23,2024-25,IND,E,C,4,5,0.444,-4.11,113.1,117.47,-4.38,-4.88,114.15,119.37,-5.22
23,24,2024-25,TOR,E,A,2,7,0.222,-6.67,114.44,121.19,-6.75,-5.35,113.75,119.27,-5.52
24,25,2024-25,POR,W,NW,3,7,0.3,-7.7,108.06,115.24,-7.18,-7.17,109.14,115.91,-6.77
25,26,2024-25,CHI,E,C,3,6,0.333,-7.44,109.31,116.38,-7.08,-8.16,110.74,118.63,-7.89
26,27,2024-25,WAS,E,SE,2,5,0.286,-11.57,107.23,118.36,-11.13,-8.55,106.36,114.43,-8.07
27,28,2024-25,PHI,E,A,1,7,0.125,-8.75,109.16,118.28,-9.12,-10.03,108.01,118.41,-10.4
28,29,2024-25,NOP,W,SW,3,7,0.3,-10.3,109.13,120.1,-10.96,-11.25,108.37,120.18,-11.8
29,30,2024-25,UTA,W,NW,1,7,0.125,-15.75,103.27,118.86,-15.58,-14.63,103.35,117.81,-14.46
