,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,OKC,W,NW,6,0,1.0,17.67,112.48,95.27,17.21,17.39,111.99,95.02,16.97
1,2,2024-25,GSW,W,P,5,1,0.833,18.0,119.72,102.07,17.65,15.0,119.41,104.96,14.45
2,3,2024-25,CLE,E,C,7,0,1.0,14.71,122.36,107.93,14.43,12.32,121.04,108.85,12.19
3,4,2024-25,BOS,E,A,6,1,0.857,11.71,123.98,111.83,12.15,8.37,121.51,112.63,8.88
4,5,2024-25,NYK,E,A,3,2,0.6,7.0,122.23,115.44,6.79,8.75,122.11,113.53,8.58
5,6,2024-25,PHO,W,P,5,1,0.833,4.0,113.36,109.34,4.02,7.16,114.26,107.06,7.2
6,7,2024-25,HOU,W,SW,3,3,0.5,2.83,113.88,111.12,2.75,6.48,115.83,109.54,6.29
7,8,2024-25,LAC,W,P,2,4,0.333,-1.67,108.26,109.87,-1.61,5.78,113.78,108.14,5.64
8,9,2024-25,DAL,W,SW,4,2,0.667,5.0,112.78,107.93,4.86,5.1,115.42,110.44,4.98
9,10,2024-25,SAS,W,SW,3,3,0.5,0.5,107.98,107.41,0.57,3.92,112.12,108.27,3.85
10,11,2024-25,LAL,W,P,4,2,0.667,-0.67,116.94,117.42,-0.49,2.82,118.56,115.57,2.98
11,12,2024-25,DEN,W,NW,3,3,0.5,1.67,115.13,113.78,1.35,1.25,116.87,116.0,0.86
12,13,2024-25,SAC,W,P,3,3,0.5,4.83,115.71,110.73,4.98,0.48,112.3,111.58,0.72
13,14,2024-25,MIA,E,SE,3,2,0.6,1.6,111.88,110.55,1.33,0.14,112.04,112.05,-0.01
14,15,2024-25,MIN,W,NW,3,3,0.5,-1.17,114.04,115.35,-1.32,0.05,113.35,113.49,-0.14
15,16,2024-25,ORL,E,SE,3,4,0.429,-1.71,107.95,109.38,-1.43,-2.05,106.93,108.68,-1.76
16,17,2024-25,CHO,E,SE,2,4,0.333,-4.67,115.32,120.11,-4.79,-2.56,113.64,116.18,-2.54
17,18,2024-25,POR,W,NW,2,5,0.286,-8.14,106.45,114.12,-7.67,-3.31,110.74,113.89,-3.15
18,19,2024-25,MEM,W,SW,4,3,0.571,2.71,114.94,112.25,2.69,-3.53,113.9,117.29,-3.39
19,20,2024-25,ATL,E,SE,3,4,0.429,-3.29,115.65,118.7,-3.04,-4.42,116.81,120.99,-4.18
20,21,2024-25,BRK,E,A,3,4,0.429,-0.57,114.23,114.86,-0.63,-4.46,112.12,116.46,-4.34
21,22,2024-25,CHI,E,C,3,3,0.5,-3.67,107.28,110.52,-3.24,-4.87,108.3,112.76,-4.46
22,23,2024-25,DET,E,C,2,5,0.286,-5.43,108.78,114.05,-5.27,-5.03,107.14,112.04,-4.9
23,24,2024-25,WAS,E,SE,2,3,0.4,-8.8,109.22,117.82,-8.6,-6.4,106.97,113.03,-6.06
24,25,2024-25,TOR,E,A,2,5,0.286,-6.14,114.49,120.64,-6.15,-6.27,113.01,119.36,-6.35
25,26,2024-25,NOP,W,SW,3,4,0.429,-7.0,110.04,117.67,-7.63,-5.99,109.93,116.6,-6.67
26,27,2024-25,IND,E,C,2,4,0.333,-5.17,112.87,118.24,-5.36,-7.04,112.04,119.29,-7.25
27,28,2024-25,MIL,E,C,1,5,0.167,-7.33,110.41,117.47,-7.06,-8.58,108.83,116.98,-8.15
28,29,2024-25,UTA,W,NW,0,6,0.0,-18.67,98.12,116.38,-18.26,-14.96,99.55,114.23,-14.68
29,30,2024-25,PHI,E,A,1,4,0.2,-9.2,107.3,116.75,-9.45,-15.29,103.16,118.62,-15.46
