,RK,SEASON,TEAM,CONF,DIV,W,L,W/L%,MOV,ORTG,DRTG,NRTG,MOV/A,ORTG/A,DRTG/A,NRTG/A
0,1,2024-25,OKC,W,NW,7,0,1.0,17.43,110.63,93.65,16.98,16.06,110.25,94.49,15.77
1,2,2024-25,GSW,W,P,6,1,0.857,17.29,119.97,103.03,16.93,13.57,118.92,105.76,13.16
2,3,2024-25,BOS,E,A,7,1,0.875,14.0,123.12,108.92,14.2,11.02,120.18,108.98,11.2
3,4,2024-25,CLE,E,C,8,0,1.0,13.13,121.56,108.69,12.88,10.82,120.65,109.99,10.66
4,5,2024-25,NYK,E,A,3,3,0.5,3.83,119.44,115.96,3.48,7.88,120.96,113.52,7.44
5,6,2024-25,HOU,W,SW,4,3,0.571,4.14,114.55,110.32,4.23,7.51,115.31,107.88,7.43
6,7,2024-25,LAC,W,P,3,4,0.429,-0.14,110.45,110.42,0.03,5.21,114.86,109.55,5.3
7,8,2024-25,PHO,W,P,6,1,0.857,3.71,114.46,110.73,3.74,3.49,113.59,109.99,3.6
8,9,2024-25,SAS,W,SW,3,4,0.429,-0.86,108.8,109.72,-0.92,3.08,113.29,110.29,3.0
9,10,2024-25,DAL,W,SW,4,3,0.571,3.29,114.11,110.91,3.2,2.87,115.39,112.58,2.81
10,11,2024-25,MIN,W,NW,4,3,0.571,2.0,114.77,112.76,2.01,1.53,112.88,111.39,1.49
11,12,2024-25,DEN,W,NW,4,3,0.571,1.71,115.55,114.12,1.43,0.94,116.41,115.74,0.67
12,13,2024-25,SAC,W,P,4,3,0.571,4.29,115.88,111.46,4.42,0.36,113.31,112.7,0.62
13,14,2024-25,MIA,E,SE,3,3,0.5,1.17,112.54,111.61,0.93,0.25,112.89,112.84,0.05
14,15,2024-25,LAL,W,P,4,3,0.571,-2.29,115.1,117.25,-2.15,-0.55,116.3,116.68,-0.38
15,16,2024-25,ORL,E,SE,3,5,0.375,-3.5,104.95,108.16,-3.21,-1.86,105.62,107.24,-1.61
16,17,2024-25,DET,E,C,3,5,0.375,-3.25,109.71,112.81,-3.1,-1.79,108.27,110.01,-1.74
17,18,2024-25,MEM,W,SW,4,4,0.5,2.13,114.58,112.49,2.09,-2.59,113.3,115.77,-2.47
18,19,2024-25,POR,W,NW,3,5,0.375,-4.88,109.01,113.3,-4.29,-3.16,111.24,114.09,-2.85
19,20,2024-25,BRK,E,A,4,4,0.5,-0.25,114.22,114.5,-0.28,-3.63,112.67,116.16,-3.49
20,21,2024-25,IND,E,C,3,4,0.429,-3.43,115.15,118.78,-3.63,-3.54,115.53,119.41,-3.87
21,22,2024-25,CHO,E,SE,2,5,0.286,-7.0,112.73,119.98,-7.24,-4.29,113.17,117.66,-4.49
22,23,2024-25,MIL,E,C,1,6,0.143,-6.57,110.92,117.25,-6.33,-5.32,110.14,115.17,-5.04
23,24,2024-25,WAS,E,SE,2,4,0.333,-9.5,109.15,118.42,-9.27,-5.78,109.48,115.0,-5.52
24,25,2024-25,TOR,E,A,2,6,0.25,-5.63,114.69,120.32,-5.63,-5.73,112.96,118.78,-5.82
25,26,2024-25,ATL,E,SE,3,5,0.375,-6.63,112.27,118.5,-6.23,-6.67,113.05,119.34,-6.28
26,27,2024-25,CHI,E,C,3,4,0.429,-4.43,109.71,113.76,-4.05,-7.11,110.91,117.61,-6.71
27,28,2024-25,NOP,W,SW,3,5,0.375,-8.38,109.73,118.82,-9.09,-8.33,108.99,117.97,-8.98
28,29,2024-25,PHI,E,A,1,5,0.167,-8.0,109.25,117.47,-8.22,-10.58,107.42,118.2,-10.78
29,30,2024-25,UTA,W,NW,1,6,0.143,-14.71,103.13,117.51,-14.38,-13.13,103.23,116.04,-12.8
